id,year,active_year,conflict_name,dyad_name,side_a,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low
98024.0,1993,1.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,1996-05-04,-""",Reuters,1996-05-04,-,police,Rio de Janeiro town,Rio de Janeiro town,Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),1993-07-23 00:00:00.000,1993-07-23 00:00:00.000,0.0,0.0,8.0,0.0,8,8.0,8.0
98028.0,1993,1.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,1997-07-02,-""",Reuters,1997-07-02,-,police,Rio de Janeiro town,Rio de Janeiro town,Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),1993-08-30 00:00:00.000,1993-08-30 00:00:00.000,0.0,0.0,21.0,0.0,21,21.0,21.0
98029.0,1994,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,2.0,"""Reuters News,1994-10-18,Rio police kill 13 in shootout with traffickers."";""Reuters News,1995-05-12,Brazil shooting points to massacre - rights group.""",Reuters News;Reuters News,1994-10-18;1995-05-12,Rio police kill 13 in shootout with traffickers.;Brazil shooting points to massacre - rights group.,police,Rio de Janeiro town,Rio de Janeiro town,Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),1994-10-18 00:00:00.000,1994-10-18 00:00:00.000,0.0,0.0,0.0,0.0,0,13.0,0.0
84044.0,1994,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,1994-12-05,-""",Reuters,1994-12-05,-,Brazilian army,Rio de Janeiro town,Rio de Janeiro town,Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),1994-12-04 00:00:00.000,1994-12-04 00:00:00.000,0.0,0.0,1.0,0.0,1,1.0,0.0
98031.0,1995,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,1995-03-05,-""",Reuters,1995-03-05,-,Globo,Rio de Janeiro town,Rio de Janeiro town,Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),1995-03-05 00:00:00.000,1995-03-05 00:00:00.000,0.0,0.0,1.0,0.0,1,1.0,1.0
98032.0,1995,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,1995-03-21,-""",Reuters,1995-03-21,-,police,Brasília city,Brasilia city,Distrito Federal state,Brasília,-15.779720,-47.929720,POINT (-47.92972 -15.77972),1995-03-21 00:00:00.000,1995-03-21 00:00:00.000,0.0,0.0,1.0,0.0,1,1.0,1.0
98033.0,1995,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,1995-05-12,-""",Reuters,1995-05-12,-,HRW,Rio de Janeiro town,Rio de Janeiro town,Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),1995-05-08 00:00:00.000,1995-05-08 00:00:00.000,0.0,0.0,0.0,0.0,0,14.0,0.0
98030.0,1995,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,2000-08-14,-""",Reuters,2000-08-14,-,police,Corumbiara town,Corumbiara town,Rondônia state,Corumbiara municipality,-12.961940,-60.886670,POINT (-60.88667 -12.96194),1995-08-09 00:00:00.000,1995-08-09 00:00:00.000,0.0,0.0,9.0,0.0,9,9.0,0.0
98034.0,1996,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,1996-04-18,-""",Reuters,1996-04-18,-,officials,Marabá town,near Maraba town,Pará state,Marabá municipality,-5.368610,-49.117780,POINT (-49.11778 -5.36861),1996-04-17 00:00:00.000,1996-04-17 00:00:00.000,0.0,0.0,8.0,0.0,8,19.0,8.0
98036.0,1997,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,1999-03-06,-""",Reuters,1999-03-06,-,military police,São Paulo town,Sao Paulo town,São Paulo state,São Paulo municipality,-23.547500,-46.636110,POINT (-46.63611 -23.5475),1997-03-01 00:00:00.000,1997-03-31 00:00:00.000,0.0,0.0,1.0,0.0,1,1.0,1.0
98037.0,1999,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,1999-03-06,-""",Reuters,1999-03-06,-,police,Praia Grande municipality,Praia Grande,São Paulo state,Praia Grande municipality,-24.001270,-46.491210,POINT (-46.49121 -24.00127),1999-02-07 00:00:00.000,1999-02-20 00:00:00.000,0.0,0.0,3.0,0.0,3,3.0,3.0
98038.0,1999,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,1999-05-04,-""",Reuters,1999-05-04,-,witnesses and police,Rio de Janeiro town,Rio de Janeiro town,Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),1999-05-04 00:00:00.000,1999-05-04 00:00:00.000,0.0,0.0,1.0,0.0,1,1.0,1.0
68349.0,2002,0.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Associated Press Newswires,2002-02-14,Fifty-four police injured in eviction attempt in Brazilian Amazon""",Associated Press Newswires,2002-02-14,Fifty-four police injured in eviction attempt in Brazilian Amazon,police,Belém town,near Belem town,Pará state,Belém municipality,-1.455830,-48.504440,POINT (-48.50444 -1.45583),2002-02-14 00:00:00.000,2002-02-14 00:00:00.000,0.0,0.0,0.0,0.0,0,1.0,0.0
98040.0,2005,1.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""Reuters,2005-02-17,Two squatters killed in Brazil police eviction""",Reuters,2005-02-17,Two squatters killed in Brazil police eviction,police,Goiânia town,Goiania town,Goiás state,Goiânia municipality,-16.678610,-49.253890,POINT (-49.25389 -16.67861),2005-02-17 00:00:00.000,2005-02-17 00:00:00.000,0.0,0.0,0.0,2.0,2,2.0,2.0
98041.0,2005,1.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,1.0,"""EFE News Service,2005-03-31,Brazilian cops say peeved colleagues cut off head and tossed it""",EFE News Service,2005-03-31,Brazilian cops say peeved colleagues cut off head and tossed it,police,Rio de Janeiro town,near Rio de Janeiro town,Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),2005-03-01 00:00:00.000,2005-03-30 00:00:00.000,0.0,0.0,0.0,2.0,2,2.0,2.0
98042.0,2005,1.0,Government of Brazil - Civilians,Government of Brazil - Civilians,Government of Brazil,Civilians,2.0,"""Reuters,2005-04-01,UPDATE 2-Police suspected of killing at least 30 in Brazil"";""AFP,2006-08-24,-""",Reuters;AFP,2005-04-01;2006-08-24,UPDATE 2-Police suspected of killing at least 30 in Brazil;-,morgue officials,Rio de Janeiro town,Rio de Janeiro town,Rio de Janeiro state,Rio de Janeiro municipality,-22.902780,-43.207500,POINT (-43.2075 -22.90278),2005-03-31 00:00:00.000,2005-03-31 00:00:00.000,0.0,0.0,29.0,0.0,29,29.0,29.0
